slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
5,2.7162,5,2.2715,1,0.3714,8,1.6332,1,1.3199,5,0.9069,0,0,0,0,1,main,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,0,0,0,15,1,DreamStudyImages_rs1000x750g/Food/Objects_094_v.jpg,,,
,,5,2.2191,1,0.4988,6,2.0839,1,0.8921,2,0.6517,0,0,0,0,1,main,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,0,1,1,38,1,DreamStudyImages_rs1000x750g/Children/IAPS2260_baby20.jpg,,,
,,4,1.5862,2,0.737,8,4.1923,1,1.0184,2,0.9065,0,0,0,0,1,main,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,0,2,2,118,1,DreamStudyImages_rs1000x750g/Children/War 1.jpg,,,
,,5,2.8224,1,0.6511,9,1.2247,1,2.3002,5,0.7442,0,0,0,0,1,main,3,21,female,right,donders,2021-07-09_09h38.22.716,ImageRatingTask_S3,2021.1.4,Win32,60.02040694,,,,,,,,,
